periodIndex,sampleEvent,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,numberOfServers,requestCancelled,nextPeriodOptimalServers
129,72000.0,72000.0,72000.0,0.6686111111111112,0.6832057224582,14.036041666666666,72002.0,2.3513740525933224,36.0,,36
130,72000.0,72000.0,72000.0,0.6670694444444445,0.6902216264754552,14.175833333333333,71996.0,2.3578120921045986,36.0,,36
131,72000.0,72000.0,72000.0,0.6651666666666667,0.6696058410344399,13.76211111111111,71999.0,2.33602699549271,36.0,,36
132,72000.0,72000.0,72000.0,0.6653194444444445,0.6649318035750155,13.668486111111111,71999.0,2.3307559408353855,36.0,4.0,36
133,72000.0,72000.0,72000.0,0.6675694444444444,0.6585883513817361,13.544652777777777,71996.0,2.325842636076164,36.0,2.0,36
134,72000.0,72000.0,72000.0,0.6682916666666666,0.6715757684859001,13.800638888888889,72009.0,2.3400445666462626,36.0,,36
135,72000.0,72000.0,72000.0,0.6708333333333333,0.686710369088537,14.108694444444444,71994.0,2.3568331060235588,36.0,,36
136,72000.0,72000.0,72000.0,0.66425,0.6594942090312871,13.56151388888889,71991.0,2.324233941113077,36.0,2.0,36
137,72000.0,72000.0,72000.0,0.66575,0.666824803358326,13.70225,72018.0,2.332566092980011,36.0,,36
138,72000.0,72000.0,72000.0,0.66225,0.6558432568687741,13.485402777777777,71997.0,2.3182739886313786,36.0,,36
139,72000.0,72000.0,72000.0,0.6695416666666667,0.6690892792002247,13.752972222222223,71993.0,2.33705152281122,36.0,,36
140,72000.0,72000.0,72000.0,0.6682777777777777,0.6911050325123294,14.197305555555555,71998.0,2.3595509930949006,36.0,,36
141,72000.0,72000.0,72000.0,0.6670416666666666,0.7036999953964767,14.443347222222222,72009.0,2.3707910433345476,36.0,2.0,36
142,72000.0,72000.0,72000.0,0.6659305555555556,0.6686868378943462,13.744013888888889,72000.0,2.334252925374752,36.0,2.0,34
143,72000.0,69417.0,69417.0,0.6642465102208392,0.9886252647426271,19.477303830473804,69414.0,2.652365233360689,35.0,3.0,28
144,72000.0,51047.0,51047.0,0.6694222970987521,0.21499582765337263,3.36511450232139,51067.0,1.88438210309842,31.0,,28
145,72000.0,42233.0,42233.0,0.6709208438898492,0.01746687626923818,0.27502190230388557,42246.0,1.687475833406394,28.0,,19
146,72000.0,36788.0,36788.0,0.6735620310970969,0.5981648408224082,6.609410677394803,36773.0,2.269295380521129,23.5,,19
147,72000.0,36207.0,36207.0,0.6660590493550971,0.44529436573702097,4.928964012483774,36212.0,2.110461278681397,19.0,,20
148,72000.0,41287.0,41287.0,0.6653668224864969,1.4688610508920812,17.41976893453145,41253.0,3.1341487610283294,19.5,24.0,28
149,72000.0,46458.0,46458.0,0.6678505316630075,0.06469131510016003,0.974794437986999,46492.0,1.7337546273931206,24.0,,30
150,72000.0,61140.0,61140.0,0.6685148838730782,1.018686809499154,17.766290480863592,61133.0,2.686588491641087,29.0,2.0,34
151,72000.0,68921.0,68921.0,0.6666763395771971,0.8670749737028631,17.012303942194688,68909.0,2.5331810256204546,32.0,,36
152,72000.0,72000.0,72000.0,0.664125,0.6474145117502839,13.316569444444445,71994.0,2.312544889520995,35.0,,36
153,72000.0,72000.0,72000.0,0.6646805555555556,0.6639578150762907,13.647361111111111,72006.0,2.3288364236818317,36.0,,36
154,72000.0,72000.0,72000.0,0.6687361111111111,0.6953394340528773,14.27838888888889,72004.0,2.3642025748840454,36.0,,36
155,72000.0,72000.0,72000.0,0.6680972222222222,0.6689629648263874,13.752166666666668,71991.0,2.3360104271643896,36.0,,36
156,72000.0,72000.0,72000.0,0.6674722222222222,0.659399701982992,13.555083333333334,72006.0,2.3264886471724675,36.0,,36
157,72000.0,72000.0,72000.0,0.6675416666666667,0.6702028810166522,13.7745,72001.0,2.3379484567923754,36.0,2.0,36
158,72000.0,72000.0,72000.0,0.6665,0.7011584839150721,14.395319444444445,71997.0,2.368286002763121,36.0,2.0,36
159,72000.0,72000.0,72000.0,0.6660138888888889,0.660164400312113,13.572597222222223,72005.0,2.3258918011890564,36.0,,36
160,72000.0,72000.0,72000.0,0.6649722222222222,0.6722685041287807,13.81723611111111,71995.0,2.3370849715328887,36.0,,36
161,72000.0,72000.0,72000.0,0.6669444444444445,0.6653666453778391,13.676583333333333,72000.0,2.3322111154946956,36.0,2.0,36
162,72000.0,72000.0,72000.0,0.666,0.6587922096847343,13.546027777777777,72000.0,2.324325511022594,36.0,,36
163,72000.0,72000.0,72000.0,0.6662638888888889,0.6472955187987728,13.31475,71999.0,2.312966345181282,36.0,,36
164,72000.0,72000.0,72000.0,0.66575,0.6689920599235015,13.750555555555556,72005.0,2.335741125831394,36.0,,36
165,72000.0,72000.0,72000.0,0.6647361111111111,0.6655073258072683,13.678944444444445,71996.0,2.3297013227826335,36.0,,36
166,72000.0,72000.0,72000.0,0.6668333333333333,0.6894429615505059,14.160083333333333,72000.0,2.357272687536905,36.0,,36
167,72000.0,71369.0,71369.0,0.6679510711933753,0.5915149889142118,12.088988216172288,71373.0,2.259644154219384,36.0,,20
168,,,,,,,,,28.0,,20
