,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
214,214,10.536649746192891,58624,58624,0.5752467728200773,58622,2.244554614079054,0.0,29.0,30,49622.0,47428.0
215,215,9.2882923870185,56118,56118,0.5172466644972195,56128,2.185644785426801,0.0,20.0,29,47428.0,33840.0
216,216,11.22016909859539,39848,39848,0.8986919315054765,39855,2.568502003293628,5.0,19.0,20,33840.0,30412.0
217,217,6.075722543352601,36101,36101,0.4717300731768949,36112,2.1398841934815067,0.0,16.0,19,30412.0,25779.0
218,218,5.477420553800409,30583,30583,0.5081829052513461,30579,2.1701310623269183,0.0,17.0,16,25779.0,27623.0
219,219,6.086115061097588,32725,32725,0.5443656150575686,32723,2.20859181786036,0.0,18.0,17,27623.0,29381.0
220,220,6.792700181279568,34778,34778,0.5853675775830685,34781,2.2544429009176947,0.0,20.0,18,29381.0,33506.0
221,221,9.274421443832026,39519,39519,0.7432509629213141,39506,2.4100247173218423,0.0,26.0,20,33506.0,43947.0
222,222,12.650530049578782,51778,51778,0.7947791430258081,51759,2.458084497232223,4.0,30.0,26,43947.0,50470.0
223,223,12.935056289304438,59456,59456,0.7124842105019242,59473,2.379034042347313,1.0,33.0,30,50470.0,55309.0
224,224,14.119226462883043,65227,65227,0.7070152262890039,65215,2.37569300576649,2.0,35.0,33,55309.0,59546.0
225,225,16.555759549324083,70049,70049,0.7936876362471568,70046,2.460016153556132,0.0,36.0,35,59546.0,61408.0
226,226,18.3783033409475,72222,72222,0.8510686109982194,72214,2.516711249237249,2.0,36.0,36,61408.0,61360.0
227,227,18.42433234421365,72177,72177,0.8543141822850024,72175,2.521145974938931,5.0,36.0,36,61360.0,61652.0
228,228,18.040810855780077,72473,72473,0.8394644665017003,72473,2.5020160221809458,7.0,35.0,36,61652.0,58844.0
