,periodIndex,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
176,176,57665,57665,0.6678921356108558,0.7657459630160266,12.81550333824677,57655,2.4333283458968955,4.0,32.0,29,48943.0,54479.0
177,177,64109,64109,0.6717309582117955,0.8878767885180264,16.353663292205464,64097,2.5598388246644768,6.0,33.0,32,54479.0,54596.0
178,178,64486,64486,0.6671990819712806,0.5717141830569178,10.725010079707223,64496,2.2394041174645523,0.0,33.0,33,54596.0,55698.0
179,179,65602,65602,0.6622511508795463,0.704256051025995,13.349028993018504,65601,2.3669846037382865,1.0,33.0,33,55698.0,55495.0
180,180,65413,65413,0.6677724611315794,0.6987367904560595,13.219665815663554,65395,2.364720976738301,0.0,33.0,33,55495.0,55945.0
181,181,65830,65830,0.6668084459972656,0.7574963432022885,14.39825307610512,65851,2.424670618702893,2.0,31.0,33,55945.0,53206.0
182,182,62544,62544,0.66847339473011,0.97766399971542,17.556456254796622,62524,2.6451265282289493,6.0,31.0,31,53206.0,51853.0
183,183,61134,61134,0.6669120293126575,0.6603477192401961,11.727712892989173,61153,2.3283614333883347,0.0,31.0,31,51853.0,52105.0
184,184,61399,61399,0.6653691428199157,0.706671401795083,12.586475349761397,61405,2.3710234366769543,0.0,30.0,31,52105.0,50841.0
185,185,59848,59848,0.6678084480684401,0.8320362341077686,14.382301831305975,59844,2.500165905003218,1.0,31.0,30,50841.0,51924.0
186,186,61220,61220,0.6652074485462267,0.6745041277079921,11.984286180986606,61230,2.338705256630093,2.0,32.0,31,51924.0,54321.0
187,187,63932,63932,0.6667396608896953,0.7633287630766635,14.087405368203717,63921,2.4286117206625835,0.0,34.0,32,54321.0,56832.0
188,188,67040,67040,0.667989260143198,0.6789403456981409,13.19829952267303,67032,2.347574556138642,0.0,33.0,34,56832.0,54595.0
189,189,64490,64490,0.666506435106218,0.5541959487970156,10.406187005737324,64495,2.219748120415332,0.0,28.0,33,54595.0,47849.0
190,190,56239,56239,0.6700688134568538,0.9164821116115688,14.852433364746885,56252,2.5865114587263247,1.0,27.0,28,47849.0,44658.0
191,191,52757,52757,0.6675322705991622,0.6101889220302266,9.475102829956214,52764,2.2770580563523675,2.0,20.0,27,44658.0,33250.0
192,192,39254,39254,0.6647984918734396,0.6593519620225865,7.680440209914913,39250,2.3244454454300203,0.0,16.0,20,33250.0,26581.0
193,193,31372,31372,0.6674423052403418,0.7084849796819597,6.673020527859237,31381,2.3760101454627907,0.0,16.0,16,26581.0,26172.0
194,194,30979,30979,0.670260499047742,0.652436814908207,6.153232835146389,30984,2.3241103074238065,4.0,15.0,16,26172.0,23817.0
195,195,28322,28322,0.6654191088199986,0.4688323678988398,4.144057623049219,28317,2.134943117839786,0.0,15.0,15,23817.0,24378.0
196,196,28884,28884,0.6684323500900152,0.5857798850426578,5.183596454784656,28878,2.254453531760297,0.0,18.0,15,24378.0,29075.0
197,197,34467,34467,0.668697594800824,0.5192549799615743,5.434299474860011,34475,2.1876063762990148,0.0,24.0,18,29075.0,39151.0
